timestamps,TP9,AF7,AF8,TP10,Right AUX
1786901612.080,0.000,-195.801,-372.559,-114.746,0.000
1786901612.084,0.000,-60.059,-213.379,275.879,0.000
1786901612.088,0.000,-41.504,-227.539,288.086,0.000
1786901612.092,0.000,-185.059,-349.609,-95.215,0.000
1786901612.096,0.000,-255.859,-376.465,-162.109,0.000
1786901612.100,0.000,-156.738,-315.918,228.516,0.000
1786901612.103,0.000,-28.809,-257.812,374.512,0.000
1786901612.107,0.000,-225.586,-434.570,61.523,0.000
1786901612.111,0.000,-338.867,-545.410,-168.945,0.000
1786901612.115,0.000,-6.836,-257.324,91.309,0.000
1786901612.119,0.000,-19.531,-258.301,419.434,0.000
1786901612.123,600.098,-130.371,-347.168,156.250,0.000
1786901612.127,213.867,-107.422,-309.082,-203.613,0.000
1786901612.131,-327.637,-44.922,-253.418,-4.883,0.000
1786901612.134,-62.012,-104.492,-303.711,393.555,0.000
1786901612.138,521.484,-193.848,-401.367,274.902,0.000
1786901612.142,356.445,-196.289,-426.758,-128.906,0.000
1786901612.146,-268.066,-187.500,-407.715,-85.938,0.000
1786901612.150,-231.445,-178.223,-384.277,333.008,0.000
1786901612.154,407.715,-195.801,-405.762,382.812,0.000
1786901612.158,472.656,-94.727,-359.375,-76.660,0.000
1786901612.162,-147.461,-32.715,-292.969,-219.727,0.000
1786901612.166,-319.824,-161.133,-395.020,223.145,0.000
1786901612.170,-297.363,-265.625,-472.656,444.336,0.000
1786901612.174,261.719,-87.402,-348.633,21.973,0.000
1786901612.177,420.410,-52.246,-370.605,-280.762,0.000
1786901612.181,-144.531,-195.312,-449.219,44.434,0.000
1786901612.185,-419.922,-166.504,-420.898,382.324,0.000
1786901612.189,82.520,-136.719,-410.156,140.625,0.000
1786901612.193,436.523,-188.477,-474.609,-229.980,0.000
1786901612.197,-17.090,-258.301,-505.859,-47.852,0.000
1786901612.201,-482.910,-165.039,-410.645,333.496,0.000
1786901612.205,-129.883,-19.531,-342.285,218.262,0.000
1786901612.209,427.734,-146.484,-470.703,-151.367,0.000
1786901612.212,166.992,-258.301,-520.020,-129.883,0.000
1786901612.217,0.000,-146.484,-420.410,251.953,0.000
1786901612.220,0.000,-15.137,-346.680,330.078,0.000
1786901612.224,0.000,-89.844,-437.012,-45.898,0.000
1786901612.228,0.000,-275.391,-534.668,-176.758,0.000
1786901612.232,0.000,-199.219,-460.449,164.551,0.000
1786901612.236,0.000,-106.934,-481.934,366.699,0.000
1786901612.240,0.000,-191.406,-542.969,54.199,0.000
1786901612.244,0.000,-235.840,-566.895,-243.164,0.000
1786901612.248,0.000,-82.031,-423.828,-9.277,0.000
1786901612.252,0.000,29.785,-341.309,317.871,0.000
1786901612.255,0.000,-131.348,-481.445,143.066,0.000
1786901612.259,0.000,-236.816,-571.777,-233.398,0.000
1786901612.263,-15.137,-101.074,-463.379,-151.367,0.000
1786901612.267,-500.977,-126.465,-472.168,284.668,0.000
1786901612.271,-212.891,-208.984,-545.898,257.324,0.000
1786901612.275,328.613,-128.906,-504.883,-198.242,0.000
1786901612.279,150.879,-93.750,-462.402,-270.508,0.000
1786901612.283,-418.945,-152.344,-486.816,152.832,0.000
1786901612.287,-318.848,-285.645,-572.754,345.703,0.000
1786901612.291,265.625,-273.438,-600.586,-55.664,0.000
1786901612.295,275.391,1.465,-407.227,-349.609,0.000
1786901612.298,-282.715,-20.020,-399.414,17.578,0.000
1786901612.302,-419.434,-95.215,-387.695,322.754,0.000
1786901612.306,136.719,-57.617,-351.562,23.438,0.000
1786901612.310,406.738,-67.871,0.000,-321.289,0.000
1786901612.314,-101.562,-138.672,0.000,-72.266,0.000
1786901612.318,-466.797,-157.715,0.000,325.195,0.000
1786901612.322,-44.922,-85.938,0.000,166.504,0.000
1786901612.326,434.082,-150.391,0.000,-222.656,0.000
1786901612.330,82.520,-220.703,0.000,-170.898,0.000
1786901612.334,-465.332,-260.254,0.000,239.258,0.000
1786901612.338,-236.328,-134.766,0.000,233.398,0.000
1786901612.342,357.422,42.480,0.000,-197.266,0.000
1786901612.345,259.766,-114.746,0.000,-250.977,0.000
1786901612.349,-352.051,-240.234,0.000,143.555,0.000
1786901612.353,-385.742,-45.898,0.000,267.578,0.000
1786901612.357,223.633,14.648,-317.871,-92.773,0.000
1786901612.361,360.352,-202.148,-537.109,-295.410,0.000
1786901612.365,-233.887,-212.891,-539.062,-1.465,0.000
1786901612.369,-462.891,-21.973,-324.219,259.277,0.000
1786901612.373,99.609,-81.055,-418.945,24.902,0.000
1786901612.377,418.945,-256.836,-569.336,-276.367,0.000
1786901612.381,-73.730,-268.066,-571.777,-92.285,0.000
1786901612.385,-466.797,-96.191,-422.852,240.723,0.000
1786901612.389,-88.867,-8.301,-347.656,136.719,0.000
1786901612.392,426.758,-266.113,-565.430,-196.777,0.000
1786901612.396,122.559,-287.109,-569.336,-200.195,0.000
1786901612.400,-440.918,-22.949,-328.613,140.625,0.000
1786901612.404,-236.328,-32.227,-368.164,248.535,0.000
1786901612.408,347.168,-278.320,-579.102,-81.055,0.000
1786901612.412,248.047,-225.586,-516.602,-254.395,0.000
1786901612.416,-331.543,1.953,-344.727,71.777,0.000
1786901612.420,-348.145,-89.355,-402.832,314.453,0.000
